index,Name,PlayerID,ERA,IP,BB,Hard Hits,WHIP,WHHIP
1,Fernando Abad,472551,5.60,17.66,7,14,1.698,1.189
2,Cory Abbott,676265,6.75,17.33,11,13,1.789,1.385
3,Albert Abreu,656061,5.15,36.66,19,14,1.255,0.900
4,Bryan Abreu,650556,5.75,36,18,21,1.472,1.083
5,Domingo Acevedo,642758,3.27,11,4,6,1.182,0.909
6,Jason Adam,592094,5.91,10.66,6,7,1.500,1.220
7,Austin Adams,613534,4.10,52.66,35,10,1.196,0.855
8,Joan Adon,672851,3.38,5.33,3,4,1.688,1.313
9,Miguel Aguilar,620396,6.43,7,4,5,1.429,1.286
10,Keegan Akin,669211,6.63,95,40,68,1.579,1.137
11,R. J. Alaniz,595798,3.38,2.66,3,1,1.500,1.504
12,Andrew Albers,452027,7.58,19,9,17,1.737,1.368
13,Hanser Alberto,593643,0.00,0.33,0,0,0.000,0.000
14,Jorge Alcala,660896,3.92,59.66,13,23,0.972,0.603
15,Sandy Alcantara,645261,3.19,205.66,50,109,1.075,0.773
16,Sergio Alcantara,642727,0.00,0.33,0,0,0.000,0.000
17,Scott Alexander,518397,2.93,15.33,4,8,1.239,0.783
18,Tyler Alexander,641302,3.81,106.33,28,67,1.260,0.893
19,A. J. Alexy,669935,4.70,23,17,6,1.304,1.000
20,Kolby Allard,663465,5.41,124.66,31,82,1.275,0.906
21,Logan Allen,663531,6.26,50.33,17,36,1.490,1.053
22,Nick Allgeyer,680430,0.00,1,0,0,0.000,0.000
23,Yency Almonte,622075,7.55,47.66,29,25,1.594,1.133
24,Albert Almora,546991,27.00,1,1,1,2.000,2.000
25,Dan Altavilla,656186,6.75,1.33,0,1,0.750,0.752
27,Jose Alvarado,621237,4.20,55.66,47,25,1.599,1.294
28,Jose Alvarez,501625,2.37,64.66,19,23,1.113,0.650
29,Adbert Alzolay,640470,4.58,125.66,34,65,1.162,0.788
30,Brett Anderson,474463,4.22,96,28,75,1.354,1.073
31,Chase Anderson,502624,6.75,48,20,31,1.479,1.062
32,Drew Anderson,623454,3.27,22,6,11,1.182,0.773
33,Ian Anderson,666120,3.58,128.33,53,61,1.231,0.888
34,Nick Anderson,623433,4.50,6,2,2,1.000,0.667
35,Shaun Anderson,641312,8.49,23.33,12,22,2.057,1.457
36,Tanner Anderson,664196,3.60,5,0,3,1.000,0.600
37,Tyler Anderson,542881,4.53,167,38,92,1.246,0.778
38,Matt Andriese,542882,5.21,48.33,13,41,1.614,1.117
39,Tejay Antone,622088,2.14,33.66,13,11,0.891,0.713
40,Jonathan Arauz,660620,9.00,1,0,1,2.000,1.000
41,Chris Archer,502042,4.66,19.33,8,12,1.345,1.035
42,Kohei Arihara,685503,6.64,40.66,13,33,1.426,1.131
43,Shawn Armstrong,542888,6.75,36,15,24,1.500,1.083
44,Jake Arrieta,453562,7.39,98.66,44,81,1.774,1.267
45,Christian Arroyo,624414,0.00,1,1,1,2.000,2.000
46,Aaron Ashby,676879,4.55,31.66,12,15,1.168,0.853
47,Willians Astudillo,553902,2.25,4,2,1,0.750,0.750
48,Pedro Avila,658648,2.25,4,3,2,1.750,1.250
49,Luis Avilan,501593,12.60,5,3,4,2.000,1.400
50,John Axford,446099,54.00,0.33,1,2,9.000,9.091
51,Pedro Baez,520980,2.08,4.33,1,1,0.692,0.462
53,Bryan Baker,641329,0.00,1,0,0,1.000,0.000
54,Alberto Baldonado,593604,8.44,10.66,7,5,1.594,1.126
55,Anthony Banda,607455,4.28,33.66,13,23,1.545,1.070
56,Caleb Baragar,670056,1.57,23,12,11,1.348,1.000
57,Daniel Bard,453268,5.21,65.66,36,42,1.599,1.188
58,Joe Barlow,669618,1.55,29,12,6,0.828,0.621
